time;distribution;dataset;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value function;method;alpha;attack_method;attack_arg;num_attack_clients;x;y;remove topic;num_removed_client
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.0;862.0;best;3.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.125;615.0;best;2.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.25;405.0;best;1.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.375;240.0;best;5.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.5;157.0;best;6.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.625;96.0;best;7.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.75;58.0;best;0.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.875;29.0;best;4.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.0;862.0;worst;0.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.125;833.0;worst;4.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.25;804.0;worst;7.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.375;766.0;worst;6.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.5;705.0;worst;5.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.625;622.0;worst;1.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.75;457.0;worst;2.0
2023-06-27 17:13:50;label skew;tictactoe;6694;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.875;247.0;worst;3.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.0;862.0;best;2.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.125;533.0;best;3.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.25;341.0;best;5.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.375;210.0;best;6.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.5;124.0;best;1.0
2023-06-27 17:13:50;label skew;tictactoe;6695;8;TicTacToeMLP;0.005;60;16;16;data_quantity;ShapleyValue;0.8;low quality data;0.8;3;0.625;58.0;best;0.0
